3, 4101.762711864407, 498
4, 4745.22033898305, 658
5, 5686.661016949152, 856
6, 5818.64406779661, 1010
8, 6575.0847457627115, 1338
12, 6773.033898305084, 1976
14, 6856.508474576272, 2283
1, 1809.898305084746, 165
2, 3107.322033898305, 351
3, 3915.2711864406783, 487
4, 4537.728813559322, 688
5, 5334.677966101694, 872
6, 6139.627118644068, 1026
8, 6891.06779661017, 1326
11, 7083.525423728814, 1865
1, 1973.3898305084745, 176
2, 3285.813559322034, 350
3, 4248.254237288136, 524
4, 5381.186440677966, 685
6, 5774.64406779661, 1042
7, 6609.593220338984, 1181
10, 6880.050847457627, 1610
11, 7169.525423728814, 1787
1, 1807.898305084746, 173
2, 3106.322033898305, 357
3, 3744.779661016949, 518
4, 3874.762711864407, 684
5, 5503.169491525424, 842
7, 6284.610169491526, 1166
8, 6592.0847457627115, 1316
10, 6998.542372881357, 1655
11, 7113.525423728814, 1827
12, 7281.508474576272, 1937
1, 1809.898305084746, 157
2, 3121.322033898305, 333
3, 3762.779661016949, 500
4, 4018.254237288136, 698
5, 5527.169491525424, 836
7, 6253.610169491526, 1194
8, 6727.576271186441, 1333
9, 6861.559322033898, 1505
11, 6951.033898305084, 1833
1, 1809.898305084746, 179
2, 2943.830508474576, 354
3, 3920.2711864406783, 531
4, 4882.71186440678, 677
5, 5501.169491525424, 853
6, 5808.64406779661, 1006
7, 6295.610169491526, 1156
8, 6425.593220338984, 1309
11, 6647.050847457627, 1797
12, 7401.0, 2004
1, 1658.406779661017, 147
2, 3121.322033898305, 319
3, 3905.2711864406783, 490
4, 4043.254237288136, 676
5, 5708.661016949152, 825
6, 5796.64406779661, 1021
7, 6117.118644067797, 1159
8, 6888.06779661017, 1365
9, 7004.050847457627, 1527
11, 7043.525423728814, 1909
12, 7200.508474576272, 2023
1, 1976.3898305084745, 180
2, 3291.813559322034, 341
3, 3626.2881355932204, 455
4, 4546.728813559322, 669
5, 5510.169491525424, 843
6, 6641.1016949152545, 1040
8, 6747.576271186441, 1335
9, 7020.050847457627, 1535
12, 7118.016949152543, 1941
1, 1980.3898305084745, 168
2, 2951.830508474576, 348
3, 4074.762711864407, 505
4, 4384.237288135594, 667
5, 5498.169491525424, 848
6, 6161.627118644068, 982
7, 6580.593220338984, 1207
9, 6690.06779661017, 1531
10, 6849.050847457627, 1657
1, 1976.3898305084745, 179
2, 3138.322033898305, 345
3, 4420.745762711864, 516
4, 4895.71186440678, 674
5, 5147.186440677966, 863
6, 6001.135593220339, 952
7, 6422.1016949152545, 1200
9, 6682.06779661017, 1518
11, 6964.033898305084, 1808
13, 7224.0, 2128
1, 1808.898305084746, 161
2, 3122.322033898305, 325
3, 3600.2881355932204, 504
4, 4858.71186440678, 708
6, 6477.610169491526, 1030
9, 6547.576271186441, 1449
10, 7477.016949152543, 1686
1, 1986.3898305084745, 172
2, 3277.813559322034, 355
3, 3407.796610169492, 508
4, 4528.728813559322, 706
5, 4814.203389830508, 876
6, 6344.118644067797, 997
7, 6429.1016949152545, 1184
9, 6882.559322033898, 1466
